wpid,title,author1first,author1mid,author1last,author1workplace,author2first,author2mid,author2last,author2workplace,author3first,author3mid,author3last,author3workplace,author4first,author4mid,author4last,author4workplace,author5first,author5mid,author5last,author5workplace,abstract,creationdate,sectionurlid,papernumber,filefunction,jel,keywords,suppress
1,Experimental Analysis of Neighborhood Effects on Youth,Jeffrey,R.,Kling,Princeton University and NBER,Jeffrey,B.,Liebman,Harvard University and NBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"We examine the effects of moving out of high-poverty  neighborhoods on the outcomes of teenage youth, a population often seen as  most at risk from the adverse effects of such neighborhoods. The randomized  design of the Moving To Opportunity demonstration allows us to compare  groups of youth, initially similar and living in high-poverty public  housing. An 'experimental' group was offered vouchers valid only in a  low-poverty neighborhood; a 'Section 8' group was offered traditional  vouchers without geographic restriction; and a control group was not offered  vouchers.  We study outcomes in four domains: education, risky behavior, mental health, and physical health. Aggregating effect sizes over all of the  outcomes, females in both treatment groups benefited from the moves, while  males in both treatment groups experienced worse outcomes. Females in the  experimental group experienced improvements in education and mental health  and were less likely to engage in risky behaviors. Females in the  traditional voucher group experienced improvements in mental health. Males in both treatment groups were more likely than controls to engage in risky  behaviors and to experience physical health problems. We adopt a  multiple-testing framework to account for the large number of estimates  considered. We show that the overall effects on females in the experimental  group and the effects on mental health for females in both treatment groups  were least likely to be due to sampling variation.  Families with female  children and families with male children moved to similar neighborhoods,  suggesting that their outcomes differ not because of exposure to different  types of neighborhoods but because male and female youth respond to their  environments in different ways.",2004-03,IRS,dsp01m613mx58m,"First version, 2004","H43, I18, J18","Fixed-term contracts, Firing costs, General equilibrium, Heterogeneous agents",0
3,Estimating the Value of a Statistical Life: The Importance of Omitted Variables and Publication Bias,Orley,NULL,Ashenfelter,Princeton University and NBER,Michael,NULL,Greenstone,MIT and NBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"In this paper we show that omitted variables and publication bias  lead to severely biased estimates of the value of a staistical life.   Although our empirical results are obtained in the context of a study of  choices about road safety, we suspect that the same issues plague the   estimation of monetary trade-offs regarding safety in other contexts.  Length: 16 pages",2004-01,IRS,dsp018336h1898,"First version, 2004",NULL,NULL,0
4,On Terrorism and Electoral Outcomes: Theory and Evidence from the  Israeli-Palestinian Conflict,Claude,NULL,Berrebi,Princeton University,Esteban,F.,Klor,Hebrew University of Jerusalem,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This paper investigates the interaction between terrorist attacks  and electoral outcomes in Israel. We analyze a dynamic model of reputation  that captures the  salient characteristics of this conflict. The equilibrium of the theoretical  model generates two precise empirical predictions on the interaction between  terrorism and  electoral outcomes. First, we expect that the relative support for the  rightist party increases after periods with high levels of terrorism and  decreases after relatively  calm periods. Second, the expected level of terrorism is higher during the  leftist party's tenure in office compared to the one expected during the  rightist party's  term in office. We test the hypotheses above using a newly culled data set  on terrorist attacks in Israel and the occupied territories between 1990 and  2003. The  ?rst hypothesis is strongly supported by the available data obtained from  public opinion polls on the Israeli electorate's intent of voting. We use  event study methods  and likelihood ratio tests to evaluate the second hypothesis, as electoral  outcomes are endogenous to the level of terrorist attacks. The results  support our theoretical  prediction for three of the four Israeli governments in the studied time  period.  Accordingly, we observe an increase in terrorist attacks during  leftist governments  and a decrease in terrorist attacks during rightist governments.",2004-01,IRS,480.pdf,"First version, 2004","D7, N4","Terrorism, Electoral Outcomes",0
5,MOVING TO OPPORTUNITY AND TRANQUILITY: NEIGHBORHOOD EFFECTS ON ADULT  ECONOMIC SELF-SUFFICIENCY AND  HEALTH FROM A RANDOMIZED HOUSING VOUCHER EXPERIMENT,Jeffrey,R.,Kling,Princeton University and NBER,Jeffrey,NULL,Liebman,Harvard University and NBER,Lawrence,F.,Katz,Harvard University and NBER,Lisa,NULL,Sanbonmatsu,NBER,NULL,NULL,NULL,NULL,"We study adult economic and health outcomes in the Moving to  Opportunity (MTO) demonstration, a randomized housing mobility experiment in  which families living in highpoverty  U.S. public housing projects in five cities were given vouchers to help them  move to private housing units in lower-poverty neighborhoods. An  ��experimental�� group was offered  vouchers valid only in a low-poverty neighborhood; a ��Section 8�� group was  offered traditional housing vouchers without geographic restriction; a  control group was not offered vouchers. Our  sample consists largely of black and Hispanic female household heads with  children.  Five years after random assignment, the families offered housing  vouchers through MTO  lived in safer neighborhoods that had significantly lower poverty rates than  those of the control group not offered vouchers. However, we find no  significant overall effects on adult  employment, earnings, or public assistance receipt -- though our sample  sizes are not sufficiently large to rule out moderate effects in either  direction. In contrast, we do find significant mental  health benefits of the MTO intervention for the experimental group. We also  demonstrate a more general pattern for the mental health results using both  treatment groups of systematically larger  effect sizes for groups experiencing larger changes in neighborhood poverty  rates. In our analysis of physical health outcomes, we find a significant  reduction in obesity, but no  significant effects on four other aspects of physical health (general  health, asthma, physical limitations, and hypertension), and our summary  measure of physical health was not significantly  affected by the MTO treatment for the overall sample.",2004-04,IRS,dsp01qz20ss50t,"First version, 2004","I18, I38, J38",NULL,0
6,YOUTH CRIMINAL BEHAVIOR IN THE MOVING TO OPPORTUNITY EXPERIMENT,Jeffrey,R.,Kling,Princeton University and NBER,Jens,NULL,Ludwig,Georgetown University,Lawrence,F.,Katz,Harvard University and NBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"The Moving to Opportunity (MTO) demonstration assigned housing  vouchers via random  lottery to low-income public housing residents in five cities. We use the  exogenous variation in  residential locations generated by the MTO demonstration to estimate the  effects of  neighborhoods on youth crime and delinquency. We find that the offer to  relocate to lowerpoverty  areas reduces the incidence of arrests among female youth for violent crimes  and  property crimes, and increases self-reported problem behaviors and property  crime arrests for  male youth -- relative to a control group. Female and male youth move  through MTO into  similar types of neighborhoods, so the gender difference in MTO treatment  effects seems to  reflect differences in responses to similar neighborhoods. Within-family  analyses similarly show  that brothers and sisters respond differentially to the same new  neighborhood environments with  more adverse effects for males. Males show some short-term improvements in  delinquent  behaviors from moves to lower-poverty areas, but these effects are reversed  and gender  differences in MTO treatment effects become pronounced by 3 to 4 years after  random assignment.",2004-03,IRS,dsp01tq57nr02d,"First version, 2004","H43, I18, J23",NULL,0
7,The Economics of Real Superstars: The Market for Rock Concerts in the  Material World,Alan,B.,Krueger,Princeton University and NBER,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Beginning in 1997, the price of concert tickets took off, and  ticket sales and the number  of concerts performed by top artists declined. From 1996 to 2003, for  example, the  average concert price increased by 82 percent while the CPI increased by  just 17 percent.  This paper summarizes and seeks to understand trends in the concert industry  from 1981  to 2003. Explanations that are examined include: 1) the possible crowding  out of the  secondary ticket market; 2) rising superstar effects; 3) Baumol and Bowen��s  disease; 4)  increased concentration of concert promoters; and 5) the erosion of  complementarities  between concerts and album sales because of file sharing and CD copying. The  paper  tentatively concludes that the decline in complementarities between concerts  and album  sales is the main cause of the recent surge in concert prices and decline in  ticket sales.",2004-04,IRS,dsp016108vb25k,"First version, 2004",NULL,NULL,0
8,Cut to the Bone Hospital Takeovers and Nurse Employment Contracts,Janet,NULL,Currie,University of California Los Angeles and NBER,Mehdi,NULL,Farsi,"University of Lugano Center for Energy Policy and Economics Federal Institute of Technology, Switzerland",Bentley,W.,MacLeod,"University of Southern California and IZA, Bonn",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This paper uses data from the 1990s to examine changes in the  wages, employment, and  e��ort of nurses in California hospitals following takeovers by large chains.  The market for  nurses has been described as a classic monopsony, so that one might expect  increases in ?rm  market power to be associated with declines in wages. However, a basic  contracting model  predicts e��ects on e��ort rather than on wages, which is what we see in the  data ?nurses  see few declines in wages following takeovers, but see increases in the  number of patients per  nurse, our measure of e��ort. We show that our results are also consistent  with an extended  version of the monopsony model that considers e��ort, and allows for revenue  shifts following  a takeover. Finally, we ?nd that these changes are similar in the largest  for-profit and  non-profit chains, suggesting that market forces are more important than  institutional form.",2004-03,IRS,dsp011g05fb611,"First version, 2002",NULL,NULL,0
9,Econometric Methods in Staples,Orley,NULL,Ashenfelter,Princeton University,David,NULL,Ashmore,Ashenfelter and Ashmore,Jonathan,B.,Baker,American University,Suzanne,NULL,Gleason,Trinity College,Daniel,S.,Hosken,Federal Trade Commission,"Econometrics played a major role in the investigation and  litigation of the Federal Trade Commission��s (FTC) successful challenge to  the proposed merger between two office superstore chains, Staples and Office  Depot. Our goal in writing this essay is to describe the econometric issues  at stake in evaluating the FTC��s central claim that the price charged by  office supply superstores was related to the number and identity of  superstore firms participating in the market. Similar statistical models  were relied upon by the FTC and the merging firms to analyze pricing. Our  discussion of these models highlights the advantages and disadvantages of  alternative approaches to analyzing a panel data set: cross-sectional  estimates versus fixed effects estimates. We also describe and evaluate  modeling choices that appeared to have substantial influence on the  empirical results.",2004-04,IRS,dsp016d56zw62f,"First version, 2004",NULL,NULL,0
10,Evaluating Labor Market Reforms: A General Equilibrium Approach,C��sar,NULL,Alonso-Borrego,Universidad Carlos III de Madrid,Jes��s,NULL,Fern��ndez-Villaverde,University of Pennsylvania,Jos��,E.,Gald��n-S��nchez,Universidad P��blica de Navarra,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Job security provisions are commonly invoked to explain the high  and persistent European  unemployment rates. This belief has led several countries to reform their  labor markets and  liberalize the use of fixed-term contracts. Despite how common such  contracts have become  after deregulation, there is a lack of quantitative analysis of their impact  on the economy. To  fill this gap, we build a general equilibrium model with heterogeneous  agents and firing costs  in the tradition of Hopenhayn and Rogerson (1993). We calibrate our model to  Spanish data,  choosing in part parameters estimated with firm-level longitudinal data.  Spain is particularly  interesting, since its labor regulations are among the most protective in  the OECD, and both  its unemployment and its share of fixed-term employment are the highest. We  find that fixedterm  contracts increase unemployment, reduce output, and raise productivity. The  welfare  effects are ambiguous.",2004-05,IRS,dsp011j92g746j,"First version, 2004","E24, C68, J30","Fixed-term contracts, Firing costs, General equilibrium,  Heterogeneous agents",0
11,Has SARS Infected the Property Market? Evidence from Hong Kong,Grace,NULL,Wong,Princeton University,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"This paper uses the SARS epidemic as a natural experiment to  provide new evidence on  how housing markets react to adverse shocks, in terms of both prices and  transaction volume. I  employ a weekly panel data set on 44 large-scale housing complexes in Hong  Kong. To isolate  the impact of this unanticipated event from underlying time trends, I  exploit cross-sectional  variation in SARS infection risk due to pre-SARS building characteristics.  The impact of SARS  is measured by an estate-specific government SARS-list indicator, a count of  newspaper stories  connecting SARS to each estate, an estate-level SARS infection rate and a  predicted SARS  infection risk variable, in addition to a Hong Kong-wide-start-of-epidemic  indicator. I find a price  drop of 1-2 percent in response to SARS, which is consistent with the  standard asset pricing  model in the event of a severe but transitory averse shock; no signs of  overreaction in terms of  prices are found. I also find significant volume decreases of 20-40 percent,  which were persistent  after the SARS infection rate declined, suggesting that SARS led to both  increases in search costs  and ��fishing�� behavior on the part of sellers. Volume fell most sharply in  buildings that had  experienced the least severe price drops in the preceding 7 years, which  lends some support for a  loss aversion model.",2004-04,IRS,dsp0141687h476,"First version, 2004","R0, G14, D80",NULL,0
