name,provider_name,provider_homepage,provider_institution,maintainer_name,maintainer_email,series_type,handle,sectionurlid,base_url,pri_handle
Working Papers,"Princeton University, Department of Economics, Industrial Relations Section.",http://www.irs.princeton.edu/,RePEc:edi:irprius,Bobray Bordelon,bordelon@princeton.edu,ReDIF-Paper,RePEc:pri:indrel,IRS,http://arks.princeton.edu/ark:/88435/,indrel
Working Papers,"Princeton University, Woodrow Wilson School of Public and International Affairs, Education Research Section.",http://www.ers.princeton.edu/,RePEc:edi:erprius,Bobray Bordelon,bordelon@princeton.edu,ReDIF-Paper,RePEc:pri:edures,ERS,http://www.ers.princeton.edu/workingpapers/,edures
Working Papers,"Princeton University, Department of Economics, Center for Economic Policy Studies.",http://www.princeton.edu/~ceps/index.htm,RePEc:edi:ceprius,Bobray Bordelon,bordelon@princeton.edu,ReDIF-Paper,RePEc:pri:cepsud,CEPS,http://www.princeton.edu/ceps/workingpapers/,cepsud
Working Papers,"Princeton University, Woodrow Wilson School of Public and International Affairs, Discussion Papers in Economics",http://webdb.princeton.edu/dbtoolbox/query.asp?qname=Papers_Econ_IndexWRecent,RePEc:edi:wwprius,Bobray Bordelon,bordelon@princeton.edu,ReDIF-Paper,RePEc:pri:wwseco,WWSEcon,http://www.princeton.edu/wwseconpapers/papers/,wwseco
Working Papers,"Princeton University, Woodrow Wilson School of Public and International Affairs, Research Program in Development Studies.",http://www.princeton.edu/%7Erpds/index.html,RePEc:edi:rpprius,Bobray Bordelon,bordelon@princeton.edu,ReDIF-Paper,RePEc:pri:rpdevs,RPDS,http://www.princeton.edu/rpds/papers/,rpdevs
Working Papers,"Princeton University, Woodrow Wilson School of Public and International Affairs, Center for Arts and Cultural Policy Studies.",http://www.princeton.edu/~artspol/index.html,RePEc:edi:caprius,Bobray Bordelon,bordelon@princeton.edu,ReDIF-Paper,RePEc:pri:cpanda,CACPS,http://www.princeton.edu/~artspol/,cpanda
Working Papers,"Princeton University, Woodrow Wilson School of Public and International Affairs, Center for Migration and Development.",http://cmd.princeton.edu/index.shtml,RePEc:edi:cmprius,Bobray Bordelon,bordelon@princeton.edu,ReDIF-Paper,RePEc:pri:cmgdev,CMD,http://www.princeton.edu/cmd/working-papers/papers/,cmgdev
Working Papers,"Princeton University, Woodrow Wilson School of Public and International Affairs, Center for Research on Child Wellbeing.",http://crcw.princeton.edu/,RePEc:edi:ccprius,Bobray Bordelon,bordelon@princeton.edu,ReDIF-Paper,RePEc:pri:crcwel,CRCW,http://crcw.princeton.edu/workingpapers/,crcwel
Working Papers,"Princeton University, Woodrow Wilson School of Public and International Affairs, Center for Health and Wellbeing.",http://weblamp.princeton.edu/chw/index.html,RePEc:edi:chprius,Bobray Bordelon,bordelon@princeton.edu,ReDIF-Paper,RePEc:pri:cheawb,CHWB,http://wws-roxen.princeton.edu/chwpapers/papers/,cheawb
Working Papers,"Princeton University, Department of Economics, Econometric Research Program.",http://www.econ.princeton.edu/econometrics/index.html,RePEc:edi:exprius,Bobray Bordelon,bordelon@princeton.edu,ReDIF-Paper,RePEc:pri:metric,ET,http://www.princeton.edu/econtheorycenter/wps/,metric
Working Papers,"Princeton University, Woodrow Wilson School of Public and International Affairs, Office of Population Research.",http://opr.princeton.edu/,RePEc:edi:opprius,Bobray Bordelon,bordelon@princeton.edu,ReDIF-Paper,RePEc:pri:opopre,OPR,http://opr.princeton.edu/papers/,opopre
